stop_name,stop_id,stop_lat,stop_lon,carrier,identifier
LARGO DO CASTELO,1_11621,38.791616,-9.147414,data_carris,11621
LARGO DO CONTADOR MOR,1_13807,38.711944,-9.13091,data_carris,13807
LARGO DO LEÃO,1_11115,38.734571,-9.13733,data_carris,11115
LARGO DO TERREIRINHO,1_13824,38.716115,-9.133056,data_carris,13824
LARGO DOS BOMBEIROS,1_12623,38.779076,-9.111088,data_carris,12623
LARGO FREI HEITOR PINTO,1_7408,38.755077,-9.138838,data_carris,7408
LARGO TRINDADE COELHO,1_10503,38.713181,-9.143334,data_carris,10503
LG. ACADEMIA NACIONAL BELAS AR,1_10518,38.708072,-9.140464,data_carris,10518
LG. AJUDA (PALÁCIO),1_10303,38.707647,-9.196398,data_carris,10303
LG. BROMA,1_3603,38.74233,-9.116946,data_carris,3603
LG. CHELAS,1_3601,38.739829,-9.117839,data_carris,3601
LG. FREI HEITOR PINTO,1_7410,38.755228,-9.139187,data_carris,7410
LG. LEÃO,1_11116,38.73473,-9.13722,data_carris,11116
LG. LUZ,1_12803,38.76002,-9.182754,data_carris,12803
LG. PORTAS SOL,1_13811,38.71253,-9.130601,data_carris,13811
LG. PRINCESA,1_13206,38.695057,-9.214858,data_carris,13206
LIMOEIRO,1_13803,38.710327,-9.13163,data_carris,13803
LINDA A VELHA,1_94903,38.715833,-9.235655,data_carris,94903
LISBOA (Terminal Sete Rios),11_4343,38.7421393371871,-9.16696123909045,data_tst,4343
LISBOA CLUBE TÉNIS,1_8839,38.730482,-9.203878,data_carris,8839
LNEC,1_11312,38.758025,-9.141312,data_carris,11312
LUMIAR,1_5906,38.772642,-9.161176,data_carris,5906
LUMIAR (ESTR. TORRE),1_5905,38.773466,-9.161261,data_carris,5905
LUMIAR - AV. PADRE CRUZ,1_5915,38.774499,-9.163788,data_carris,5915
LUNETA DOS QUARTÉIS,1_8707,38.731471,-9.197659,data_carris,8707
Lagameças (EM 533) (X) Cajados,11_294,38.607754622832,-8.77630524132215,data_tst,294
Lagameças (EM 533) (X) R Ant Roldão,11_299,38.6007327086349,-8.79615407999559,data_tst,299
Lagameças (EM 533) (X) R Cardosos,11_295,38.6137471957179,-8.76212033071701,data_tst,295
Lagameças (EM 533) (X) R Esc Primaria,11_301,38.6109653390321,-8.76872275925453,data_tst,301
Lagameças (EM 533) (X) R Joaquim Agostinho,11_297,38.6026145200306,-8.78855654091952,data_tst,297
Lagameças (EM 533) (X) R João P Monteiro,11_296,38.6109987547764,-8.76863925424715,data_tst,296
Lagameças (EM 533) (X) R Julian Bruand,11_303,38.6138371730535,-8.76189333516081,data_tst,303
Lagameças (EM 533) (X) R Pegos,11_298,38.605491681517,-8.78172811068447,data_tst,298
Lagameças (EM 533) Casa J F Santos,11_300,38.612403896542,-8.76527818502006,data_tst,300
Lagameças (EM 533) Fte (X) Cajados,11_302,38.6077450307474,-8.77632956399322,data_tst,302
Lagameças (EM 533) Fte (X) R Ant Roldão,11_326,38.6007317563164,-8.79614593306335,data_tst,326
Lagameças (EM 533) Fte (X) R Pegos,11_325,38.6054925506682,-8.78172596985489,data_tst,325
Lagameças (EM 533) Fte Casa J F Santos,11_327,38.6124526850228,-8.76516628812491,data_tst,327
Lagameças (EM 533) Fte R Joaquim Agostinho,11_293,38.6026066231055,-8.78857552941413,data_tst,293
Lagameças (Fte Super Centro M P Marçal),11_757,38.6024013573247,-8.7753805063831,data_tst,757
Lagameças (Restaurante Pescador),11_3975,38.6005365521263,-8.76473545439671,data_tst,3975
Lagameças (Super Centro M P Marçal),11_756,38.6024027793403,-8.77538078852213,data_tst,756
Lagameças (X),11_759,38.6077475591333,-8.77632321081033,data_tst,759
Lagameças (X) Antes Super Centro M P Marçal,11_2024,38.6015238716657,-8.77517234248033,data_tst,2024
Lagameças (X) R Cardosos,11_4120,38.6004578196092,-8.76126686571921,data_tst,4120
Lagameças (X) R José Garcia Silva,11_3974,38.6013141564828,-8.75432935382,data_tst,3974
Lagoa Albufeira (Avª Copacabana) (X) Avª Alcaide,11_1985,38.5121454808838,-9.16352018781617,data_tst,1985
Lagoa Albufeira (EN 377) (X),11_1987,38.4934493298802,-9.15610972610526,data_tst,1987
Lagoa Albufeira (Estr Casalão) (X) Avª Alcaide,11_1989,38.4950564497519,-9.1565419027495,data_tst,1989
