service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
27552204,1,1,1,1,1,0,0,20210125,20220125
27552205,1,1,1,1,1,0,0,20210125,20220125
27552206,1,1,1,1,1,0,0,20210125,20220125
27552207,1,1,1,1,1,0,0,20210125,20220125
27552208,1,1,1,1,1,0,0,20210125,20220125
27552186,0,0,0,0,0,1,0,20210125,20220125
27552187,0,0,0,0,0,1,0,20210125,20220125
27552188,0,0,0,0,0,1,0,20210125,20220125
27552183,0,0,0,0,0,0,1,20210125,20220125
27552184,0,0,0,0,0,0,1,20210125,20220125
27552185,0,0,0,0,0,0,1,20210125,20220125
27552218,1,1,1,1,1,0,0,20210125,20220125
27552213,0,0,0,0,0,1,0,20210125,20220125
27552215,0,0,0,0,0,1,0,20210125,20220125
27552211,0,0,0,0,0,0,1,20210125,20220125
27552209,0,0,0,0,0,0,1,20210125,20220125
27552216,1,1,1,1,1,0,0,20210125,20220125
27552217,1,1,1,1,1,0,0,20210125,20220125
27552219,1,1,1,1,1,0,0,20210125,20220125
27552220,1,1,1,1,1,0,0,20210125,20220125
27552221,1,1,1,1,1,0,0,20210125,20220125
27552214,0,0,0,0,0,1,0,20210125,20220125
27552212,0,0,0,0,0,1,0,20210125,20220125
27552210,0,0,0,0,0,0,1,20210125,20220125
27552226,0,0,0,0,0,1,0,20210125,20220125
27552224,0,0,0,0,0,0,1,20210125,20220125
27552222,0,0,0,0,0,0,1,20210125,20220125
27552227,1,1,1,1,1,0,0,20210125,20220125
27552228,1,1,1,1,1,0,0,20210125,20220125
27552229,1,1,1,1,1,0,0,20210125,20220125
27552230,1,1,1,1,1,0,0,20210125,20220125
27552225,0,0,0,0,0,1,0,20210125,20220125
27552223,0,0,0,0,0,0,1,20210125,20220125
27552237,1,1,1,1,1,0,0,20210125,20220125
27552238,1,1,1,1,1,0,0,20210125,20220125
27552239,1,1,1,1,1,0,0,20210125,20220125
27552240,1,1,1,1,1,0,0,20210125,20220125
27552241,1,1,1,1,1,0,0,20210125,20220125
27552242,1,1,1,1,1,0,0,20210125,20220125
27552243,1,1,1,1,1,0,0,20210125,20220125
27552244,1,1,1,1,1,0,0,20210125,20220125
27552245,1,1,1,1,1,0,0,20210125,20220125
27552246,1,1,1,1,1,0,0,20210125,20220125
27552247,1,1,1,1,1,0,0,20210125,20220125
27552248,1,1,1,1,1,0,0,20210125,20220125
27552249,1,1,1,1,1,0,0,20210125,20220125
27552234,0,0,0,0,0,1,0,20210125,20220125
27552235,0,0,0,0,0,1,0,20210125,20220125
27552236,0,0,0,0,0,1,0,20210125,20220125
27552231,0,0,0,0,0,0,1,20210125,20220125
27552232,0,0,0,0,0,0,1,20210125,20220125
27552233,0,0,0,0,0,0,1,20210125,20220125
27552256,1,1,1,1,1,0,0,20210125,20220125
27552257,1,1,1,1,1,0,0,20210125,20220125
27552258,1,1,1,1,1,0,0,20210125,20220125
27552259,1,1,1,1,1,0,0,20210125,20220125
27552260,1,1,1,1,1,0,0,20210125,20220125
27552261,1,1,1,1,1,0,0,20210125,20220125
27552262,1,1,1,1,1,0,0,20210125,20220125
27552263,1,1,1,1,1,0,0,20210125,20220125
27552264,1,1,1,1,1,0,0,20210125,20220125
27552265,1,1,1,1,1,0,0,20210125,20220125
27552266,1,1,1,1,1,0,0,20210125,20220125
