shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
192976,38.6095585741064,-9.10025296263118,1,
192976,38.6091770524461,-9.0947530374455,2,
192976,38.6102738570817,-9.09365643800727,3,
192976,38.6130476787532,-9.09439735778109,4,
192976,38.6158230253007,-9.09641274735745,5,
192976,38.618063747487,-9.09890309111702,6,
192976,38.6209358519895,-9.09841459887731,7,
192976,38.6212905120478,-9.0952867992947,8,
192976,38.62184892838,-9.09001597197026,9,
192976,38.6224737630549,-9.08779954711291,10,
192976,38.6246701457442,-9.08525455649439,11,
192976,38.6273610094308,-9.08513367288521,12,
192976,38.6285607273011,-9.08629079254065,13,
192976,38.6310944848998,-9.08801354959181,14,
192976,38.6331776051694,-9.09116587180626,15,
192976,38.634833179979,-9.09330779876964,16,
192976,38.6365759979189,-9.09493422780351,17,
192976,38.6387938773126,-9.09717426059125,18,
192976,38.641345900457,-9.09859144409566,19,
192976,38.6433338009834,-9.09931020853624,20,
192977,38.5551767455883,-9.04207816213822,1,
192977,38.5541851271291,-9.04572655806259,2,
192977,38.5531356957644,-9.04943714890995,3,
192977,38.5543727778061,-9.05198195950224,4,
192977,38.5588988787414,-9.0520963468899,5,
192977,38.561184136881,-9.05210573163535,6,
192977,38.5640646663701,-9.05216908889471,7,
192977,38.5667282910899,-9.05204795926229,8,
192977,38.568630063538,-9.04657071368147,9,
192977,38.5663282401007,-9.04390021503494,10,
192977,38.5657585158209,-9.04032819168169,11,
192977,38.5650810604951,-9.03719521628688,12,
192977,38.5656681106907,-9.03607543771657,13,
192977,38.5724185560199,-9.0370874726147,14,
192977,38.5814328066089,-9.0443365985629,15,
192977,38.5846706492535,-9.050580798685,16,
192978,38.5846706492535,-9.050580798685,1,
192978,38.5813662618916,-9.04405634693023,2,
192978,38.5723867307672,-9.03738573118867,3,
192978,38.5661625367413,-9.03631005660838,4,
192978,38.5650798405552,-9.0371952824382,5,
192978,38.5657257802432,-9.04044638293217,6,
192978,38.566300691028,-9.0438876448159,7,
192978,38.5685816644964,-9.04671445682217,8,
192978,38.566581925325,-9.0520543998198,9,
192978,38.5640231897213,-9.05216897946767,10,
192978,38.5595167414288,-9.05209229564665,11,
192978,38.5580742142831,-9.05206942632814,12,
192978,38.5532371500785,-9.05201512751979,13,
192978,38.5530443598521,-9.0497421968463,14,
192978,38.5542406897432,-9.0455387351315,15,
192978,38.5551767455883,-9.04207816213822,16,
192979,38.6481370084128,-9.18334533820936,1,
192979,38.6484841616634,-9.17831099634641,2,
192979,38.645505269559,-9.17978745706607,3,
192979,38.6446194219454,-9.18543001827607,4,
192979,38.6459402021236,-9.18915155731027,5,
192979,38.6468694008466,-9.19195597428733,6,
192979,38.6486924165532,-9.18961221872692,7,
192979,38.6503669358595,-9.18946914655569,8,
192979,38.6527714334331,-9.18595242393681,9,
192979,38.6552797367202,-9.18501114745412,10,
192979,38.663722570813,-9.1892564578885,11,
192979,38.6666922615115,-9.17934933354558,12,
192980,38.6666922615115,-9.17934933354558,1,
192980,38.6637755208232,-9.19016352993679,2,
192980,38.6553531498459,-9.18517643464405,3,
192980,38.6527617056274,-9.18598192009931,4,
192980,38.650198492867,-9.18959290553044,5,
192980,38.6488162958419,-9.18958601979858,6,
192980,38.6469370181124,-9.19191095996979,7,
192980,38.6459679489298,-9.189181677072,8,
