route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
193071,27601526,27601526,,,,193071
193071,27601529,27601529,,,,193071
193071,27601535,27601535,,,,193071
193071,27601592,27601592,,,,193071
193071,27601598,27601598,,,,193071
193071,27601047,27601047,,,,193071
193071,27601038,27601038,,,,193071
193071,27601041,27601041,,,,193071
193071,27600987,27600987,,,,193071
193071,27600978,27600978,,,,193071
193071,27601487,27601487,,,,193071
193071,27601272,27601272,,,,193071
193071,27600984,27600984,,,,193071
193071,27601488,27601488,,,,193071
193071,27601491,27601491,,,,193071
193071,27601493,27601493,,,,193071
193071,27601498,27601498,,,,193071
193071,27601501,27601501,,,,193071
193071,27601496,27601496,,,,193071
193071,27601503,27601503,,,,193071
193071,27601507,27601507,,,,193071
193071,27601509,27601509,,,,193071
193071,27601532,27601532,,,,193071
193071,27601517,27601517,,,,193071
193071,27601595,27601595,,,,193071
193071,27601559,27601559,,,,193071
193071,27601583,27601583,,,,193071
193071,27601538,27601538,,,,193071
193071,27601541,27601541,,,,193071
193071,27601604,27601604,,,,193071
193071,27600990,27600990,,,,193071
193071,27600993,27600993,,,,193071
193071,27601035,27601035,,,,193071
193071,27601026,27601026,,,,193071
193071,27600999,27600999,,,,193071
193071,27601008,27601008,,,,193071
193071,27601014,27601014,,,,193071
193071,27601277,27601277,,,,193071
193071,27601372,27601372,,,,193071
193071,27601282,27601282,,,,193071
193071,27601307,27601307,,,,193071
193071,27601352,27601352,,,,193071
193071,27601511,27601511,,,,193071
193071,27601490,27601490,,,,193071
193071,27601502,27601502,,,,193071
193071,27601547,27601547,,,,193071
193071,27601553,27601553,,,,193071
193071,27601302,27601302,,,,193071
193071,27601342,27601342,,,,193071
193071,27601312,27601312,,,,193071
193071,27601322,27601322,,,,193071
193071,27601287,27601287,,,,193071
193071,27601292,27601292,,,,193071
193071,27601495,27601495,,,,193071
193071,27601505,27601505,,,,193071
193071,27601565,27601565,,,,193071
193071,27601568,27601568,,,,193071
193071,27601571,27601571,,,,193071
193071,27601574,27601574,,,,193071
193071,27601544,27601544,,,,193071
193071,27601580,27601580,,,,193071
193071,27601020,27601020,,,,193071
193071,27601002,27601002,,,,193071
193071,27601029,27601029,,,,193071
193071,27600996,27600996,,,,193071
193071,27601500,27601500,,,,193071
193071,27601492,27601492,,,,193071
193071,27601550,27601550,,,,193071
193071,27601494,27601494,,,,193071
193071,27601506,27601506,,,,193071
193071,27601297,27601297,,,,193071
193071,27601327,27601327,,,,193071
193071,27601337,27601337,,,,193071
193071,27601317,27601317,,,,193071
193071,27601357,27601357,,,,193071
193071,27601504,27601504,,,,193071
193071,27601508,27601508,,,,193071
193071,27601497,27601497,,,,193071
193071,27601513,27601513,,,,193071
193071,27601556,27601556,,,,193071
193071,27601577,27601577,,,,193071
193071,27601586,27601586,,,,193071
193071,27601589,27601589,,,,193071
193071,27601562,27601562,,,,193071
193071,27601032,27601032,,,,193071
193071,27601005,27601005,,,,193071
193071,27601011,27601011,,,,193071
193071,27601023,27601023,,,,193071
193071,27601017,27601017,,,,193071
193071,27601362,27601362,,,,193071
193071,27601332,27601332,,,,193071
193071,27601347,27601347,,,,193071
193071,27601510,27601510,,,,193071
193071,27601367,27601367,,,,193071
193071,27601377,27601377,,,,193071
193071,27601382,27601382,,,,193071
193071,27601262,27601262,,,,193071
193071,27601486,27601486,,,,193071
193071,27601515,27601515,,,,193071
193071,27601512,27601512,,,,193071
193071,27601601,27601601,,,,193071
193072,27600195,27600195,,,,193072
193072,27600205,27600205,,,,193072
193072,27600208,27600208,,,,193072
193072,27600200,27600200,,,,193072
193073,27607032,27607032,,,,193073
193073,27607033,27607033,,,,193073
193073,27607034,27607034,,,,193073
193073,27607035,27607035,,,,193073
193073,27607036,27607036,,,,193073
193073,27607037,27607037,,,,193073
193073,27607038,27607038,,,,193073
193073,27606786,27606786,,,,193073
193073,27607040,27607040,,,,193073
193073,27607043,27607043,,,,193073
193073,27607046,27607046,,,,193073
193073,27607049,27607049,,,,193073
193073,27607052,27607052,,,,193073
193073,27607055,27607055,,,,193073
193073,27607058,27607058,,,,193073
193073,27607061,27607061,,,,193073
193073,27606600,27606600,,,,193073
193073,27606603,27606603,,,,193073
193073,27606606,27606606,,,,193073
193073,27606609,27606609,,,,193073
193073,27606612,27606612,,,,193073
193073,27606615,27606615,,,,193073
193073,27606618,27606618,,,,193073
193073,27606791,27606791,,,,193073
193073,27606796,27606796,,,,193073
193073,27606801,27606801,,,,193073
193073,27606831,27606831,,,,193073
193073,27606821,27606821,,,,193073
193073,27606861,27606861,,,,193073
193073,27606806,27606806,,,,193073
193073,27606871,27606871,,,,193073
193073,27606906,27606906,,,,193073
193073,27606911,27606911,,,,193073
193073,27606921,27606921,,,,193073
193073,27606811,27606811,,,,193073
193073,27606816,27606816,,,,193073
193073,27606886,27606886,,,,193073
193073,27606891,27606891,,,,193073
193073,27606896,27606896,,,,193073
193073,27606836,27606836,,,,193073
193073,27606826,27606826,,,,193073
193073,27606841,27606841,,,,193073
193073,27606846,27606846,,,,193073
193073,27606876,27606876,,,,193073
193073,27606851,27606851,,,,193073
193073,27606856,27606856,,,,193073
193073,27606881,27606881,,,,193073
193073,27606926,27606926,,,,193073
193073,27606866,27606866,,,,193073
193073,27606901,27606901,,,,193073
193073,27606916,27606916,,,,193073
193073,27606931,27606931,,,,193073
193073,27606936,27606936,,,,193073
193073,27606941,27606941,,,,193073
193073,27606946,27606946,,,,193073
193073,27606951,27606951,,,,193073
193073,27606956,27606956,,,,193073
193073,27606961,27606961,,,,193073
193073,27606966,27606966,,,,193073
193073,27606781,27606781,,,,193073
193074,27663787,27663787,,,,193074
193074,27663788,27663788,,,,193074
193074,27663789,27663789,,,,193074
193074,27663790,27663790,,,,193074
193074,27663791,27663791,,,,193074
193074,27663508,27663508,,,,193074
193074,27663793,27663793,,,,193074
193074,27663796,27663796,,,,193074
193074,27663799,27663799,,,,193074
193074,27663802,27663802,,,,193074
193074,27663805,27663805,,,,193074
193074,27663808,27663808,,,,193074
193074,27663360,27663360,,,,193074
193074,27663363,27663363,,,,193074
193074,27663366,27663366,,,,193074
193074,27663369,27663369,,,,193074
193074,27663372,27663372,,,,193074
193074,27663513,27663513,,,,193074
193074,27663573,27663573,,,,193074
193074,27663678,27663678,,,,193074
193074,27663523,27663523,,,,193074
193074,27663528,27663528,,,,193074
193074,27663533,27663533,,,,193074
193074,27663538,27663538,,,,193074
193074,27663518,27663518,,,,193074
193074,27663543,27663543,,,,193074
193074,27663548,27663548,,,,193074
193074,27663553,27663553,,,,193074
193074,27663563,27663563,,,,193074
193074,27663593,27663593,,,,193074
193074,27663613,27663613,,,,193074
193074,27663633,27663633,,,,193074
193074,27663653,27663653,,,,193074
193074,27663623,27663623,,,,193074
193074,27663588,27663588,,,,193074
193074,27663568,27663568,,,,193074
193074,27663578,27663578,,,,193074
193074,27663558,27663558,,,,193074
193074,27663598,27663598,,,,193074
193074,27663583,27663583,,,,193074
193074,27663628,27663628,,,,193074
193074,27663643,27663643,,,,193074
193074,27663648,27663648,,,,193074
193074,27663603,27663603,,,,193074
193074,27663658,27663658,,,,193074
193074,27663663,27663663,,,,193074
193074,27663668,27663668,,,,193074
193074,27663608,27663608,,,,193074
193074,27663638,27663638,,,,193074
193074,27663618,27663618,,,,193074
193074,27663673,27663673,,,,193074
193074,27663683,27663683,,,,193074
193074,27663688,27663688,,,,193074
193074,27663713,27663713,,,,193074
193074,27663718,27663718,,,,193074
193074,27663693,27663693,,,,193074
193074,27663708,27663708,,,,193074
193074,27663503,27663503,,,,193074
193074,27663698,27663698,,,,193074
193074,27663703,27663703,,,,193074
193074,27663723,27663723,,,,193074
193075,27610384,27610384,,,,193075
193075,27610385,27610385,,,,193075
193075,27610386,27610386,,,,193075
193075,27610387,27610387,,,,193075
193075,27610388,27610388,,,,193075
193075,27610389,27610389,,,,193075
193075,27610390,27610390,,,,193075
193075,27610391,27610391,,,,193075
193075,27610392,27610392,,,,193075
193075,27610393,27610393,,,,193075
193075,27610122,27610122,,,,193075
193075,27610395,27610395,,,,193075
193075,27610398,27610398,,,,193075
193075,27610401,27610401,,,,193075
193075,27610404,27610404,,,,193075
193075,27610407,27610407,,,,193075
193075,27610410,27610410,,,,193075
193075,27610413,27610413,,,,193075
193075,27610416,27610416,,,,193075
193075,27609866,27609866,,,,193075
193075,27609869,27609869,,,,193075
193075,27609872,27609872,,,,193075
193075,27609875,27609875,,,,193075
193075,27609878,27609878,,,,193075
193075,27609881,27609881,,,,193075
193075,27609884,27609884,,,,193075
193075,27609887,27609887,,,,193075
193075,27609890,27609890,,,,193075
193075,27609893,27609893,,,,193075
193075,27609896,27609896,,,,193075
193075,27610127,27610127,,,,193075
193075,27610172,27610172,,,,193075
193075,27610177,27610177,,,,193075
193075,27610192,27610192,,,,193075
193075,27610197,27610197,,,,193075
193075,27610202,27610202,,,,193075
193075,27610257,27610257,,,,193075
193075,27610262,27610262,,,,193075
193075,27610157,27610157,,,,193075
193075,27610212,27610212,,,,193075
193075,27610237,27610237,,,,193075
193075,27610277,27610277,,,,193075
193075,27610282,27610282,,,,193075
193075,27610287,27610287,,,,193075
193075,27610132,27610132,,,,193075
193075,27610137,27610137,,,,193075
193075,27610312,27610312,,,,193075
193075,27610142,27610142,,,,193075
193075,27610147,27610147,,,,193075
193075,27610222,27610222,,,,193075
193075,27610152,27610152,,,,193075
193075,27610207,27610207,,,,193075
193075,27610182,27610182,,,,193075
193075,27610187,27610187,,,,193075
193075,27610217,27610217,,,,193075
193075,27610162,27610162,,,,193075
193075,27610167,27610167,,,,193075
193075,27610232,27610232,,,,193075
193075,27610272,27610272,,,,193075
193075,27610242,27610242,,,,193075
193075,27610247,27610247,,,,193075
193075,27610252,27610252,,,,193075
193075,27610227,27610227,,,,193075
193075,27610297,27610297,,,,193075
193075,27610267,27610267,,,,193075
193075,27610292,27610292,,,,193075
193075,27610302,27610302,,,,193075
193075,27610307,27610307,,,,193075
193075,27610317,27610317,,,,193075
193075,27610322,27610322,,,,193075
193075,27610117,27610117,,,,193075
193075,27610327,27610327,,,,193075
193076,27602155,27602155,,,,193076
193076,27602160,27602160,,,,193076
193077,27590910,27590910,,,,193077
193077,27590943,27590943,,,,193077
193077,27590940,27590940,,,,193077
193077,27590945,27590945,,,,193077
193077,27590954,27590954,,,,193077
193077,27590957,27590957,,,,193077
193077,27591020,27591020,,,,193077
193077,27591023,27591023,,,,193077
193077,27590456,27590456,,,,193077
193077,27590459,27590459,,,,193077
193077,27590360,27590360,,,,193077
193077,27590372,27590372,,,,193077
193077,27590366,27590366,,,,193077
193077,27590909,27590909,,,,193077
193077,27590653,27590653,,,,193077
193077,27590948,27590948,,,,193077
193077,27590363,27590363,,,,193077
193077,27590658,27590658,,,,193077
193077,27590663,27590663,,,,193077
193077,27590937,27590937,,,,193077
193077,27590933,27590933,,,,193077
193077,27590916,27590916,,,,193077
193077,27591011,27591011,,,,193077
193077,27591014,27591014,,,,193077
193077,27590960,27590960,,,,193077
193077,27590951,27590951,,,,193077
193077,27590369,27590369,,,,193077
193077,27590390,27590390,,,,193077
193077,27590375,27590375,,,,193077
193077,27590450,27590450,,,,193077
193077,27590444,27590444,,,,193077
193077,27590426,27590426,,,,193077
193077,27590668,27590668,,,,193077
193077,27590828,27590828,,,,193077
193077,27590911,27590911,,,,193077
193077,27590941,27590941,,,,193077
193077,27590939,27590939,,,,193077
193077,27590929,27590929,,,,193077
193077,27590990,27590990,,,,193077
193077,27590438,27590438,,,,193077
193077,27590399,27590399,,,,193077
193077,27590405,27590405,,,,193077
193077,27590414,27590414,,,,193077
193077,27590423,27590423,,,,193077
193077,27590673,27590673,,,,193077
193077,27590693,27590693,,,,193077
193077,27590713,27590713,,,,193077
193077,27590718,27590718,,,,193077
193077,27590738,27590738,,,,193077
193077,27590758,27590758,,,,193077
193077,27590763,27590763,,,,193077
193077,27590803,27590803,,,,193077
193077,27590788,27590788,,,,193077
193077,27590703,27590703,,,,193077
193077,27590683,27590683,,,,193077
193077,27590688,27590688,,,,193077
193077,27590678,27590678,,,,193077
193077,27590723,27590723,,,,193077
193077,27590808,27590808,,,,193077
193077,27590818,27590818,,,,193077
193077,27590927,27590927,,,,193077
193077,27590918,27590918,,,,193077
193077,27590923,27590923,,,,193077
193077,27590912,27590912,,,,193077
193077,27590920,27590920,,,,193077
193077,27590925,27590925,,,,193077
193077,27590996,27590996,,,,193077
193077,27590978,27590978,,,,193077
193077,27590981,27590981,,,,193077
193077,27590966,27590966,,,,193077
193077,27591002,27591002,,,,193077
193077,27590922,27590922,,,,193077
193077,27590932,27590932,,,,193077
193077,27590913,27590913,,,,193077
193077,27590917,27590917,,,,193077
193077,27591005,27591005,,,,193077
193077,27591008,27591008,,,,193077
193077,27590969,27590969,,,,193077
193077,27590963,27590963,,,,193077
193077,27590975,27590975,,,,193077
193077,27590987,27590987,,,,193077
193077,27590999,27590999,,,,193077
193077,27590993,27590993,,,,193077
193077,27590417,27590417,,,,193077
193077,27590387,27590387,,,,193077
193077,27590411,27590411,,,,193077
193077,27590402,27590402,,,,193077
193077,27590378,27590378,,,,193077
193077,27590393,27590393,,,,193077
193077,27590432,27590432,,,,193077
193077,27590698,27590698,,,,193077
193077,27590921,27590921,,,,193077
193077,27590381,27590381,,,,193077
193077,27590915,27590915,,,,193077
193077,27590384,27590384,,,,193077
193077,27590420,27590420,,,,193077
193077,27590919,27590919,,,,193077
193077,27590926,27590926,,,,193077
193077,27590928,27590928,,,,193077
193077,27590914,27590914,,,,193077
193077,27590447,27590447,,,,193077
193077,27590728,27590728,,,,193077
193077,27590708,27590708,,,,193077
193077,27590793,27590793,,,,193077
193077,27590733,27590733,,,,193077
193077,27590930,27590930,,,,193077
193077,27590984,27590984,,,,193077
193077,27590972,27590972,,,,193077
193077,27590441,27590441,,,,193077
193077,27590435,27590435,,,,193077
193077,27590429,27590429,,,,193077
193077,27590408,27590408,,,,193077
193077,27590396,27590396,,,,193077
193077,27590924,27590924,,,,193077
193077,27590935,27590935,,,,193077
193077,27590748,27590748,,,,193077
193077,27590753,27590753,,,,193077
193077,27590743,27590743,,,,193077
193077,27590768,27590768,,,,193077
193077,27590773,27590773,,,,193077
193077,27590778,27590778,,,,193077
193077,27590938,27590938,,,,193077
193077,27590931,27590931,,,,193077
193077,27591017,27591017,,,,193077
193077,27590453,27590453,,,,193077
193077,27590783,27590783,,,,193077
193077,27590934,27590934,,,,193077
193077,27590798,27590798,,,,193077
193077,27590936,27590936,,,,193077
193077,27590813,27590813,,,,193077
193077,27590823,27590823,,,,193077
193077,27590838,27590838,,,,193077
193077,27590833,27590833,,,,193077
193077,27590648,27590648,,,,193077
193077,27590942,27590942,,,,193077
193077,27590908,27590908,,,,193077
193078,27584507,27584507,,,,193078
193078,27584511,27584511,,,,193078
193078,27584517,27584517,,,,193078
193078,27584519,27584519,,,,193078
193078,27584529,27584529,,,,193078
193078,27584010,27584010,,,,193078
193078,27583983,27583983,,,,193078
193078,27583989,27583989,,,,193078
193078,27584242,27584242,,,,193078
193078,27584510,27584510,,,,193078
193078,27584503,27584503,,,,193078
193078,27584526,27584526,,,,193078
193078,27584512,27584512,,,,193078
193078,27584508,27584508,,,,193078
193078,27584518,27584518,,,,193078
193078,27584532,27584532,,,,193078
193078,27584535,27584535,,,,193078
193078,27584538,27584538,,,,193078
193078,27584541,27584541,,,,193078
193078,27584544,27584544,,,,193078
193078,27584547,27584547,,,,193078
193078,27584550,27584550,,,,193078
193078,27583992,27583992,,,,193078
193078,27583995,27583995,,,,193078
193078,27583986,27583986,,,,193078
193078,27584001,27584001,,,,193078
193078,27584004,27584004,,,,193078
193078,27584007,27584007,,,,193078
193078,27584247,27584247,,,,193078
193078,27584521,27584521,,,,193078
193078,27584509,27584509,,,,193078
193078,27584252,27584252,,,,193078
193078,27584257,27584257,,,,193078
193078,27584504,27584504,,,,193078
193078,27584513,27584513,,,,193078
193078,27584515,27584515,,,,193078
193078,27583998,27583998,,,,193078
193078,27584262,27584262,,,,193078
193078,27584312,27584312,,,,193078
193078,27584342,27584342,,,,193078
193078,27584347,27584347,,,,193078
193078,27584505,27584505,,,,193078
193078,27584267,27584267,,,,193078
193078,27584506,27584506,,,,193078
193078,27584514,27584514,,,,193078
193078,27584516,27584516,,,,193078
193078,27584553,27584553,,,,193078
193078,27584013,27584013,,,,193078
193078,27584272,27584272,,,,193078
193078,27584277,27584277,,,,193078
