Regions,early_dependence_index_1960,early_depedence_index_1981,early_dependence_index_2001,early_dependence_index_2011
Abrantes,15.3,24.2,37.4,42.4
Alcanena,14.9,22.4,31,37.8
Constância,16,21.7,29.3,33.8
Entroncamento,11.8,16.6,20.8,27.5
Ferreira do Zêzere,19,36.5,46.8,49.7
Mação,21.6,41.2,72.5,76
Ourém,13.7,20.8,28.9,34.9
Sardoal,20.3,34.8,47.3,45
Sertã,18.1,28.5,43.8,46.3
Tomar,16.1,23,33.9,41
Torres Novas,16.1,21.7,31.9,38.3
Vila de Rei,23.2,39.8,68,80.1
Vila Nova da Barquinha,15.5,19.2,31,40.5
Beiras e Serra da Estrela,14.7,27.5,37.7,44.9
Almeida,16.3,33.6,50.3,67.2
Belmonte,13.3,29.9,38.4,43.6
Celorico da Beira,17.8,34.4,44.1,50.5
Covilhã,10.9,19.9,29,36.9
Figueira de Castelo Rodrigo,16.3,35,52.2,57.6
Fornos de Algodres,18.8,36.1,44.5,55.8
Fundão,15.7,32,39.1,45.8
Gouveia,17.9,30.9,47.1,56.6
Guarda,14.1,23.5,28.3,31.9
Manteigas,12.7,23.1,33.5,47.1
Mêda,13.9,29,51.7,61.8
Pinhel,14.2,27.4,42.4,57.2
Sabugal,15.2,44,71.6,80.7
Seia,17.3,23.4,32.5,41.9
Trancoso,14.6,29.6,44.8,51.2
Área Metropolitana de Lisboa,11.1,14.5,22.1,27.5
Área Metropolitana de Lisboa,11.1,14.5,22.1,27.5
Alcochete,12.4,16.3,22.5,21.7
Almada,7.2,11.8,24.2,31.7
Amadora,-,9,19.7,28.1
Barreiro,9.7,11.8,22.2,33.7
Cascais,9.1,12.7,21.6,26.8
Lisboa,12.8,21.4,36.4,37.8
Loures,7.2,8.9,┴  17.0,25.6
Mafra,12.4,18.2,22.8,22.3
Moita,6.8,12.3,18.3,25.5
Montijo,8.8,16.1,25.6,25.1
Odivelas,-,-,16.4,23.7
Oeiras,8.1,┴  10.6,20.9,29.3
Palmela,8.8,14.7,21.9,26.6
Seixal,8.7,8.1,13.7,22.6
Sesimbra,10.2,15.1,21.3,23.4
Setúbal,11.4,14.1,21.2,27.5
Sintra,10.8,┴  11.0,14.3,19.9
Vila Franca de Xira,9.8,11.4,15.3,19.5
Alentejo,12.4,24.1,34.9,38.8
Alentejo Litoral,9.4,21.4,33.1,37.8
Alcácer do Sal,9.1,21.7,33.7,40.6
Grândola,9.6,21.5,38.1,41.2
Odemira,9.2,24.5,40,42.5
Santiago do Cacém,9.5,20.9,30.1,36.9
Sines,10.4,14.7,22.4,25.9
Baixo Alentejo,11.9,27.4,38.4,40.9
