Regions,pop_per_doc_2001,pop_per_doc_2019,pop_per_pharm_2001,pop_per_pharm_2019
Viseu,260.3,125.2,1358.1,789.6
Vouzela,2372.7,688.6,2372.7,1071.1
Beira Baixa,521.2,280.5,1886.8,813.2
Castelo Branco,344.4,209.2,1468.2,713.6
Idanha-a-Nova,2322.0,900.0,3870.0,1350.0
Oleiros,-,1256.0,2215.8,837.3
Penamacor,1325.8,958.6,3314.5,958.6
Proença-a-Nova,1196.9,524.6,4787.8,1468.8
Vila Velha de Ródão,4084.5,525.9,2042.3,788.9
Médio Tejo,759.4,416.3,1684.9,846.2
Abrantes,495.9,339.0,1317.1,641.0
Alcanena,1213.7,675.5,1618.2,1166.8
Constância,1913.5,803.2,637.8,502.0
Entroncamento,570.7,285.1,3043.8,1018.4
Ferreira do Zêzere,4700.5,1329.0,2350.3,1993.5
Mação,2802.8,1259.0,2102.1,1049.2
Ourém,1155.2,677.8,2200.4,957.7
Sardoal,821.0,374.0,4105.0,1870.0
Sertã,1390.3,812.8,2085.5,1219.1
Tomar,536.4,323.0,1341.1,681.9
Torres Novas,659.4,279.6,1538.6,743.6
Vila de Rei,1685.8,1107.3,3371.5,664.4
Vila Nova da Barquinha,1898.6,743.2,2531.5,1857.9
Beiras e Serra da Estrela,627.8,265.6,1697.5,817.4
Almeida,763.8,391.9,4200.8,1959.3
Belmonte,945.1,800.3,1890.3,1280.5
Celorico da Beira,1763.5,1158.8,2204.4,1390.6
Covilhã,591.2,199.0,1326.5,572.6
Figueira de Castelo Rodrigo,713.4,561.8,1783.5,561.8
Fornos de Algodres,800.8,303.0,2802.8,1514.8
Fundão,730.2,436.2,1569.9,950.3
Gouveia,669.1,460.6,2007.3,1036.4
Guarda,310.7,137.5,1825.5,736.5
Manteigas,1356.8,431.7,1356.8,1007.3
Mêda,1549.3,575.3,6197.0,2301.0
Pinhel,909.2,450.5,1558.6,855.9
Sabugal,1644.3,820.5,2466.5,1185.2
Seia,875.4,328.3,1400.7,797.3
Trancoso,1084.6,387.4,1807.6,1272.9
Área Metropolitana de Lisboa,199.8,150.5,865.0,556.3
Área Metropolitana de Lisboa,199.8,150.5,865.0,556.3
Alcochete,942.2,322.1,3297.8,755.6
Almada,299.2,213.7,1390.5,698.4
Amadora,316.8,319.8,914.2,650.9
Barreiro,424.5,286.2,1178.5,697.1
Cascais,156.2,130.9,1354.3,737.2
Lisboa,81.3,52.4,356.5,254.7
Loures,221.3,308.0,1530.6,767.2
Mafra,800.8,413.8,2402.5,1455.4
Moita,1246.9,805.8,2493.8,1172.1
Montijo,536.2,374.2,1526.2,665.7
Odivelas,-,327.9,4062.9,1217.3
Oeiras,120.9,100.0,636.7,350.8
Palmela,548.6,304.5,1991.3,1088.8
Seixal,751.8,454.6,2548.5,1052.2
Sesimbra,809.7,497.2,2378.5,1175.2
Setúbal,300.4,193.0,1268.2,744.8
Sintra,520.9,379.3,1508.6,812.3
Vila Franca de Xira,806.2,553.8,1814.1,783.3
Alentejo,618.0,320.6,1694.8,972.4
Alentejo Litoral,1135.2,483.9,2038.7,1073.4
Alcácer do Sal,2846.1,1062.3,4743.5,1669.4
Grândola,1356.0,695.5,1864.6,1460.5
Odemira,1740.7,881.0,1865.0,1541.8
Santiago do Cacém,839.1,309.2,1940.5,719.0
Sines,679.6,341.8,1698.9,976.6
