Regions,spf_2001,spf_2011,spf_senior_2001,spf_senior_2011
Almodôvar,678,823,447,543
Alvito,223,297,142,159
Barrancos,160,185,112,109
Beja,"2,465","3,461","1,372","1,665"
Castro Verde,680,711,406,432
Cuba,326,417,213,233
Ferreira do Alentejo,678,836,475,489
Mértola,992,944,753,649
Moura,"1,107","1,343",782,854
Ourique,620,655,419,412
Serpa,"1,204","1,424",838,875
Vidigueira,443,568,324,331
Lezíria do Tejo,"17,029","21,305","9,903","11,674"
Almeirim,"1,579","2,001",867,"1,075"
Alpiarça,531,621,356,369
Azambuja,"1,415","1,727",851,922
Benavente,"1,351","2,122",642,901
Cartaxo,"1,821","2,039",884,"1,037"
Chamusca,934,976,617,640
Coruche,"1,438","1,893","1,039","1,296"
Golegã,421,477,295,304
Rio Maior,"1,371","1,897",804,994
Salvaterra de Magos,"1,090","1,643",689,943
Santarém,"5,078","5,909","2,859","3,193"
Alto Alentejo,"10,163","11,417","7,179","7,197"
Alter do Chão,370,368,271,256
Arronches,317,300,251,211
Avis,455,495,327,334
Campo Maior,495,610,357,383
Castelo de Vide,362,354,248,225
Crato,463,421,354,285
Elvas,"1,581","2,013","1,003","1,126"
Fronteira,289,316,209,231
Gavião,494,499,398,371
Marvão,356,391,262,243
Monforte,263,247,207,180
Nisa,959,906,758,662
Ponte de Sor,"1,365","1,532",905,941
Portalegre,"1,834","2,408","1,220","1,341"
Sousel,560,557,409,408
Alentejo Central,"12,975","15,791","8,032","9,069"
Alandroal,580,574,430,394
Arraiolos,645,724,435,451
Borba,458,622,320,398
Estremoz,"1,231","1,446",852,898
Évora,"4,229","5,623","2,143","2,592"
Montemor-o-Novo,"1,376","1,633",886,"1,019"
Mora,448,551,324,378
Mourão,228,222,185,149
Portel,616,665,389,445
Redondo,566,649,402,437
Reguengos de Monsaraz,879,892,557,590
Vendas Novas,756,955,464,561
Viana do Alentejo,403,497,265,297
Vila Viçosa,560,738,380,460
Algarve,"31,399","45,493","14,242","18,619"
Algarve,"31,399","45,493","14,242","18,619"
Albufeira,"2,683","4,101",763,"1,095"
Alcoutim,510,484,378,337
Aljezur,583,831,331,441
Castro Marim,575,716,375,432
Faro,"5,538","7,444","1,887","2,541"
Lagoa,"1,444","2,103",585,888
Lagos,"2,025","3,105",914,"1,283"
Loulé,"4,183","6,867","2,040","2,731"
Monchique,621,702,390,417
Olhão,"2,769","3,866","1,394","1,678"
Portimão,"3,404","5,901","1,358","2,205"
São Brás de Alportel,749,970,421,470
Silves,"2,802","3,598","1,467","1,710"
Tavira,"1,816","2,460","1,041","1,260"
Vila do Bispo,512,691,267,314
Vila Real de Santo António,"1,185","1,654",631,817
Região Autónoma dos Açores,"9,932","14,006","4,918","5,615"
Região Autónoma dos Açores,"9,932","14,006","4,918","5,615"
Ilha de Santa Maria,301,415,123,164
Vila do Porto,301,415,123,164
Ilha de São Miguel,"4,523","6,624","2,316","2,590"
Lagoa [R.A.A.],362,499,202,235
Nordeste,338,388,211,202
Ponta Delgada,"2,496","3,994","1,101","1,309"
Povoação,280,373,158,192
Ribeira Grande,738,"1,003",454,478
Vila Franca do Campo,309,367,190,174
Ilha Terceira,"2,262","3,390","1,123","1,355"
Angra do Heroísmo,"1,514","2,254",734,854
Vila da Praia da Vitória,748,"1,136",389,501
Ilha Graciosa,390,372,225,186
Santa Cruz da Graciosa,390,372,225,186
Ilha de São Jorge,550,727,290,336
Calheta [R.A.A.],215,290,117,140
Velas,335,437,173,196
Ilha do Pico,816,979,390,445
Lajes do Pico,224,330,122,165
Madalena,376,400,164,164
São Roque do Pico,216,249,104,116
Ilha do Faial,740,"1,053",319,409
Horta,740,"1,053",319,409
Ilha das Flores,301,369,123,119
Lajes das Flores,127,162,64,48
Santa Cruz das Flores,174,207,59,71
Ilha do Corvo,49,77,9,11
Corvo,49,77,9,11
Região Autónoma da Madeira,"10,203","18,141","5,276","7,737"
Região Autónoma da Madeira,"10,203","18,141","5,276","7,737"
Ilha da Madeira,"10,018","17,669","5,209","7,607"
Calheta [R.A.M.],898,"1,105",551,650
Câmara de Lobos,792,"1,261",448,584
Funchal,"4,264","8,455","1,877","3,178"
Machico,599,"1,122",352,573
Ponta do Sol,498,715,309,418
Porto Moniz,239,276,163,171
Ribeira Brava,623,897,362,474
Santa Cruz,"1,067","2,537",504,755
Santana,578,746,375,486
São Vicente,460,555,268,318
Ilha de Porto Santo,185,472,67,130
Porto Santo,185,472,67,130
